"Date";"Year";"Month";"Month_Name";"Week";"Quarter";"Date_Type"
"2010-02-05";2010;2;"February";5;1;"Regular"
"2010-02-12";2010;2;"February";6;1;"Holiday"
"2010-02-19";2010;2;"February";7;1;"Regular"
"2010-02-26";2010;2;"February";8;1;"Regular"
"2010-03-05";2010;3;"March";9;1;"Regular"
"2010-03-12";2010;3;"March";10;1;"Regular"
"2010-03-19";2010;3;"March";11;1;"Regular"
"2010-03-26";2010;3;"March";12;1;"Regular"
"2010-04-02";2010;4;"April";13;2;"Regular"
"2010-04-09";2010;4;"April";14;2;"Regular"
"2010-04-16";2010;4;"April";15;2;"Regular"
"2010-04-23";2010;4;"April";16;2;"Regular"
"2010-04-30";2010;4;"April";17;2;"Regular"
"2010-05-07";2010;5;"May";18;2;"Regular"
"2010-05-14";2010;5;"May";19;2;"Regular"
"2010-05-21";2010;5;"May";20;2;"Regular"
"2010-05-28";2010;5;"May";21;2;"Regular"
"2010-06-04";2010;6;"June";22;2;"Regular"
"2010-06-11";2010;6;"June";23;2;"Regular"
"2010-06-18";2010;6;"June";24;2;"Regular"
"2010-06-25";2010;6;"June";25;2;"Regular"
"2010-07-02";2010;7;"July";26;3;"Regular"
"2010-07-09";2010;7;"July";27;3;"Regular"
"2010-07-16";2010;7;"July";28;3;"Regular"
"2010-07-23";2010;7;"July";29;3;"Regular"
"2010-07-30";2010;7;"July";30;3;"Regular"
"2010-08-06";2010;8;"August";31;3;"Regular"
"2010-08-13";2010;8;"August";32;3;"Regular"
"2010-08-20";2010;8;"August";33;3;"Regular"
"2010-08-27";2010;8;"August";34;3;"Regular"
"2010-09-03";2010;9;"September";35;3;"Regular"
"2010-09-10";2010;9;"September";36;3;"Holiday"
"2010-09-17";2010;9;"September";37;3;"Regular"
"2010-09-24";2010;9;"September";38;3;"Regular"
"2010-10-01";2010;10;"October";39;4;"Regular"
"2010-10-08";2010;10;"October";40;4;"Regular"
"2010-10-15";2010;10;"October";41;4;"Regular"
"2010-10-22";2010;10;"October";42;4;"Regular"
"2010-10-29";2010;10;"October";43;4;"Regular"
"2010-11-05";2010;11;"November";44;4;"Regular"
"2010-11-12";2010;11;"November";45;4;"Regular"
"2010-11-19";2010;11;"November";46;4;"Regular"
"2010-11-26";2010;11;"November";47;4;"Holiday"
"2010-12-03";2010;12;"December";48;4;"Regular"
"2010-12-10";2010;12;"December";49;4;"Regular"
"2010-12-17";2010;12;"December";50;4;"Regular"
"2010-12-24";2010;12;"December";51;4;"Regular"
"2010-12-31";2010;12;"December";52;4;"Holiday"
"2011-01-07";2011;1;"January";1;1;"Regular"
"2011-01-14";2011;1;"January";2;1;"Regular"
"2011-01-21";2011;1;"January";3;1;"Regular"
