"Store";"total_sales";"store_rank"
20;301397792.46;1
4;299543953.38;2
14;288999911.34;3
13;286517703.8;4
2;275382440.98;5
10;271617713.89;6
27;253855916.88;7
6;223756130.64;8
1;222402808.85;9
39;207445542.47;10
19;206634862.1;11
31;199613905.5;12
23;198750617.85;13
24;194016021.28;14
11;193962786.8;15
28;189263680.58;16
41;181341934.89;17
32;166819246.16;18
18;155114734.21;19
22;147075648.57;20
12;144287230.15;21
26;143416393.79;22
34;138249763.0;23
40;137870309.79;24
35;131520672.08;25
8;129951181.13;26
17;127782138.83;27
45;112395341.42;28
21;108117878.92;29
25;101061179.17;30
43;90565435.41;31
15;89133683.92;32
7;81598275.14;33
42;79565752.43;34
9;77789218.99;35
29;77141554.31;36
16;74252425.4;37
37;74202740.32;38
30;62716885.12;39
3;57586735.07;40
38;55159626.42;41
36;53412214.97;42
5;45475688.9;43
44;43293087.84;44
33;37160221.96;45
